timestamp,reconstruction_error,actual_fault,predicted_fault
705,0.3752064239844049,0,0
706,0.3685936879604721,0,0
707,0.362351371863608,0,0
708,0.3604783451737276,0,0
709,0.36341286721140253,0,0
710,0.3651519687152001,0,0
711,0.36305057115425776,0,0
712,0.3626685038202962,0,0
713,0.35855053490109373,0,0
714,0.363368615831333,0,0
715,0.36431764047228044,0,0
716,0.3577864884549954,0,0
717,0.3581230599450716,0,0
718,0.3529088908136805,0,0
719,0.35539359655725666,0,0
720,0.361862726095957,0,0
721,0.3570213678835891,0,0
722,0.36107346075314384,0,0
723,0.3632749545069652,0,0
724,0.368353486945373,0,0
725,0.3726515488952986,0,0
726,0.3727253714329326,0,0
727,0.3771733868683043,0,0
728,0.37940621151114967,0,0
729,0.3801358574250372,0,0
730,0.386636474423009,0,0
731,0.3902698229663328,0,0
732,0.39882619733939195,0,0
733,0.4051840808526752,0,0
734,0.4113982870396376,0,0
735,0.4156173400518144,0,0
736,0.4202493700000898,0,0
737,0.427017186860175,0,0
738,0.43051451443600686,0,0
739,0.4298987381665336,0,0
740,0.4276253038394966,0,0
741,0.42332840389819876,0,0
742,0.4261374783953215,0,0
743,0.42433990888288464,0,0
744,0.4222316036855847,0,0
745,0.42202620062603097,0,0
746,0.4270731774682734,0,0
747,0.4239773839097374,0,0
748,0.425415739064856,0,0
749,0.427030612313575,0,0
750,0.4310535629855017,0,0
751,0.43558612003947444,0,0
752,0.43525470204553013,0,0
753,0.4321762550977449,0,0
754,0.42399241601792886,0,0
755,0.4186737718788938,0,0
756,0.41467912950303965,0,0
757,0.4109406806088541,0,0
758,0.410147857401252,0,0
759,0.4050921263206198,0,0
760,0.402342302442233,0,0
761,0.3992510209741597,0,0
762,0.3949199967630896,0,0
763,0.39609959422372076,0,0
764,0.3947371097640992,0,0
765,0.3863972186674134,0,0
766,0.3866128130709146,0,0
767,0.37748803662352753,0,0
768,0.3714158921338991,0,0
769,0.36881864337236436,0,0
770,0.3671254173265817,0,0
771,0.374108128343664,0,0
772,0.3774433466393389,0,0
773,0.38000390724895344,0,0
774,0.38352861275521377,0,0
775,0.3804558346455468,0,0
776,0.3774411026011317,0,0
777,0.37780119627333897,0,0
778,0.3759053466324851,0,0
779,0.3706552581090007,0,0
780,0.36804384148721214,0,0
781,0.3676828537539361,0,0
782,0.3662587069826609,0,0
783,0.3667364658307551,0,0
784,0.3664902087253511,0,0
785,0.36671134148080575,0,0
786,0.3631266528213065,0,0
787,0.3608297507630623,0,0
788,0.355553739756648,0,0
789,0.3570818167405364,0,0
790,0.35694751662856844,0,0
791,0.35908554116426306,0,0
792,0.3606434847159585,0,0
793,0.3613821685077657,0,0
794,0.3683181944666137,0,0
795,0.3717020887885831,0,0
796,0.3685504373204337,0,0
797,0.3693897134191333,0,0
798,0.36778014199627773,0,0
799,0.3708987319529901,0,0
800,0.3699331867644257,0,0
801,0.3703048116364246,0,0
802,0.3707495731451812,0,0
803,0.3694766789674517,0,0
804,0.36490305142804214,0,0
805,0.36650978007015034,0,0
806,0.3689468324026922,0,0
807,0.3663327362603615,0,0
808,0.3679951408700708,0,0
809,0.3676441502425707,0,0
810,0.36179579876560153,0,0
811,0.358387139176868,0,0
812,0.35295692831874553,0,0
813,0.34941862483668024,0,0
814,0.348864719755023,0,0
815,0.3448224615869947,1,0
816,0.39673850069375277,0,0
817,0.4087426604611265,0,0
818,0.4167326142740122,0,0
819,0.4239395030677249,0,0
820,0.4324120774469271,0,0
821,0.43901637744434524,0,0
822,0.44826357071066547,0,0
823,0.44954974108675194,0,0
824,0.450625475126912,0,0
825,0.45765666672269667,0,0
826,0.4621079892541369,0,0
827,0.46263317210643323,0,0
828,0.4567019934477932,0,0
829,0.4533652627743393,0,0
830,0.450011411097189,0,0
831,0.45088874871991325,0,0
832,0.44610961025111884,0,0
833,0.44618645922852346,0,0
834,0.4521677149067776,0,0
835,0.4469487557282824,0,0
836,0.4466857846457236,0,0
837,0.4485787861135717,0,0
838,0.4426213223605935,0,0
839,0.4349488980118024,0,0
840,0.4325588464669503,0,0
841,0.42688374675526297,0,0
842,0.42195522525087964,0,0
843,0.41713539266254807,0,0
844,0.41417865728690256,0,0
845,0.4182368593289189,0,0
846,0.3814190554537686,0,0
847,0.3838034141871675,0,0
848,0.38703395282948094,0,0
849,0.3887256649801503,0,0
850,0.38907415457756284,0,0
851,0.3902600815766391,0,0
852,0.3878230640998928,0,0
853,0.38650802531351824,0,0
854,0.38251167075854736,0,0
855,0.3788583304394093,0,0
856,0.37423094197928475,0,0
857,0.37119781486898457,0,0
858,0.3699106634454351,0,0
859,0.37545420654236344,0,0
860,0.37769936370361507,0,0
861,0.38125128845943307,0,0
862,0.38009642869900495,0,0
863,0.3774850477808458,0,0
864,0.37793616159186566,0,0
865,0.3736079347836886,0,0
866,0.3774410474005417,0,0
867,0.3788711183255711,0,0
868,0.3767507754686302,0,0
869,0.3822808085430522,0,0
870,0.37941871805266913,0,0
871,0.38164571489742083,0,0
872,0.38482123424139414,0,0
873,0.3858794526496607,0,0
874,0.3884871138276147,0,0
875,0.38589490423699035,0,0
876,0.3827667246042946,0,0
877,0.3798808030232178,0,0
878,0.3733435765300605,0,0
879,0.3666979004765046,0,0
880,0.3616584900339306,0,0
881,0.3606137469629922,0,0
882,0.3635847941144844,0,0
883,0.36706563863812863,0,0
884,0.37330305672758035,0,0
885,0.38111550054980564,0,0
886,0.40156456096691096,0,0
887,0.4049688763457351,0,0
888,0.4118960339293367,0,0
889,0.41691936013206005,0,0
890,0.41616524640090463,0,0
891,0.4195178294536678,0,0
892,0.4211676860577986,0,0
893,0.42737811740289,0,0
894,0.42990580452825405,0,0
895,0.4319960893254408,1,0
896,0.4582657534199926,0,0
897,0.4719803248184531,0,0
898,0.48115480019956464,0,0
899,0.4786893247627948,0,0
900,0.47849477999863727,0,0
901,0.4751640314516485,0,0
902,0.4720398675858129,0,0
903,0.4741023005953868,0,0
904,0.4771868884491461,0,0
905,0.48278838001972607,0,0
906,0.4900492500288842,0,1
907,0.49542838661981475,0,1
908,0.4987754438835156,0,1
909,0.5074521132846537,0,1
910,0.5295715194183112,0,1
911,0.5373589673232967,0,1
912,0.5585337360100098,0,1
913,0.5630291462379534,0,1
914,0.555647915197452,0,1
915,0.5577993557605477,0,1
916,0.5491311784312864,0,1
917,0.5435481413983425,0,1
918,0.5290089665056676,0,1
919,0.5271569379700889,0,1
920,0.5220997984351895,0,1
921,0.5108746868888605,0,1
922,0.50064209571877,0,1
923,0.4862766102645552,0,1
924,0.47432755904657686,0,0
925,0.46430724125513667,0,0
926,0.4279446430313929,0,0
927,0.41998661798244935,0,0
928,0.4206568022879729,0,0
929,0.4141023284521482,0,0
930,0.41732134168999924,0,0
931,0.41581492020948163,0,0
932,0.42028345011806945,0,0
933,0.4264046685745613,0,0
934,0.4291586600249712,0,0
935,0.42938118362186906,0,0
936,0.43029835038409314,0,0
937,0.4255991227854622,0,0
938,0.4275170939083473,0,0
939,0.4292940030480493,0,0
940,0.423023547491197,0,0
941,0.42211951976163375,0,0
942,0.41460024159921605,0,0
943,0.4121027152035566,0,0
944,0.4145542203238253,0,0
945,0.4090528817122044,0,0
946,0.40475805671984755,0,0
947,0.3936312016089059,0,0
948,0.3843834894651145,0,0
949,0.3698844882569351,0,0
950,0.3635094727444718,0,0
951,0.357819586896941,0,0
952,0.3598926717379524,0,0
953,0.3654431143871971,0,0
954,0.3754368997935857,0,0
955,0.37846497666791906,0,0
956,0.37802516334418756,0,0
957,0.37990709721429616,0,0
958,0.3893583206819861,0,0
959,0.3938977162206406,0,0
960,0.39080830411965245,0,0
961,0.39497111629707654,0,0
962,0.39374854106953067,0,0
963,0.3915315306252315,0,0
964,0.3948784013917621,0,0
965,0.3890238331087603,0,0
966,0.38340737307235573,0,0
967,0.38496360164032156,0,0
968,0.38012359328496415,0,0
969,0.3813748950133419,0,0
970,0.3802562904979146,0,0
971,0.3844119528031679,0,0
972,0.38169950794304475,0,0
973,0.38320597227260905,0,0
974,0.3844170153542304,0,0
975,0.39213250129745775,0,0
976,0.395347836501476,0,0
977,0.39927685325723367,0,0
978,0.4033424894718792,0,0
979,0.4064843716076922,0,0
980,0.4122853265225329,0,0
981,0.41343025181452714,0,0
982,0.4163846274105526,0,0
983,0.4152453235859993,1,0
984,0.4236242445966935,1,0
985,0.42686761555796404,1,0
986,0.44441382315009786,0,0
987,0.4564334622544271,1,0
988,0.4780602486077302,0,0
989,0.47912124994109295,0,0
990,0.4873880981404902,0,1
991,0.48638685810308263,0,1
992,0.4945167882667245,0,1
993,0.4915220930575358,0,1
994,0.48377118018121723,0,1
995,0.4782149141020999,0,0
996,0.47899608455460757,0,0
997,0.4725064621374767,0,0
998,0.47224332423742255,0,0
999,0.4638547472632848,0,0
1000,0.45668588194304344,0,0
1001,0.4568864469970162,0,0
1002,0.4579873878627431,0,0
1003,0.46055688512683485,0,0
1004,0.4648859104318487,0,0
1005,0.46989088703604015,0,0
1006,0.4780383607354516,0,0
1007,0.4879434540941636,0,1
1008,0.5102583415448185,0,1
1009,0.5065772152780084,0,1
1010,0.4997980067572284,0,1
1011,0.5135211580337701,0,1
1012,0.5114312191469185,0,1
1013,0.5106627246894215,0,1
1014,0.49368795446920305,0,1
1015,0.4870735569720804,0,1
1016,0.4821742908081794,0,0
1017,0.47703712499942746,0,0
1018,0.4629443662336936,0,0
1019,0.4729308441733487,0,0
1020,0.4810441663053618,0,0
1021,0.4920565505211738,0,1
1022,0.5002063924358299,0,1
1023,0.5042610176839873,0,1
1024,0.5077793020401974,0,1
1025,0.5216964124819835,0,1
1026,0.5224946982969263,0,1
1027,0.5285417805350677,0,1
1028,0.5287623108864286,0,1
1029,0.5337435204863982,0,1
1030,0.5382959435473879,0,1
1031,0.5383839087219634,0,1
1032,0.5384824079387239,0,1
1033,0.5381932922004895,0,1
1034,0.5510648318113999,0,1
1035,0.5666520512206742,0,1
1036,0.5734008995813633,0,1
1037,0.5732395196231802,0,1
1038,0.5641267772935803,0,1
1039,0.5618098408340761,0,1
1040,0.5530890295568697,0,1
1041,0.5353141244304352,0,1
1042,0.5172077313794752,0,1
1043,0.5121485215889667,0,1
1044,0.5044332737936166,0,1
1045,0.5023534721603274,0,1
1046,0.494732326332995,0,1
1047,0.503807305155607,0,1
1048,0.5005855380810844,0,1
1049,0.4950264257477634,0,1
1050,0.4962472581955144,0,1
1051,0.48828786647955197,0,1
1052,0.48303863885339565,0,0
1053,0.48003179604069507,1,0
1054,0.5055262461271046,0,1
1055,0.5164676382711916,0,1
1056,0.5201843392377458,0,1
1057,0.5215178355266311,0,1
1058,0.5197284595689512,0,1
1059,0.5244577015832332,0,1
1060,0.5277948500943239,0,1
1061,0.528420494346902,0,1
1062,0.5285966803893852,0,1
1063,0.5324727294530535,0,1
1064,0.5335474805052075,0,1
1065,0.5328182376975735,0,1
1066,0.5238286307507077,0,1
1067,0.5239750243158057,0,1
1068,0.5299532377581455,0,1
1069,0.5278102997262681,0,1
1070,0.5294758124202057,0,1
1071,0.5300162994133303,0,1
1072,0.533905168174898,0,1
1073,0.5202005940368535,0,1
1074,0.5181423593019324,0,1
1075,0.5134296589070826,0,1
1076,0.5121902068590082,0,1
1077,0.5067403217560925,0,1
